pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-154 d,Kepler-154,289.7805393,49.8965624,14.646,13.389,12.986,5769.0,4.45,-0.04,4.47,2.58,-2.42,20.54981883,3.84,5.4586,Kepler,2016,Kepler
Kepler-154 b,Kepler-154,289.7805393,49.8965624,14.646,13.389,12.986,5690.0,4.415,0.02,8.91,2.05,-1.99,33.040532,2.26,3.355,Kepler,2014,Kepler
Kepler-154 e,Kepler-154,289.7805393,49.8965624,14.646,13.389,12.986,5769.0,4.45,-0.04,4.47,2.58,-2.42,3.93276465,1.5,2.9166,Kepler,2016,Kepler
Kepler-154 f,Kepler-154,289.7805393,49.8965624,14.646,13.389,12.986,5769.0,4.45,-0.04,4.47,2.58,-2.42,9.91935684,1.5,4.24,Kepler,2016,Kepler
Kepler-148 d,Kepler-148,289.7861626,46.8588176,15.398,13.903,13.359,5172.0,4.56,0.07,4.68,5.96,-2.88,51.84688575,8.68,4.7788,Kepler,2016,Kepler
Kepler-148 b,Kepler-148,289.7861626,46.8588176,15.398,13.903,13.359,5272.0,4.546,0.14,11.2,3.7,-3.7,1.729366,1.8,1.757,Kepler,2014,Kepler
Kepler-148 c,Kepler-148,289.7861626,46.8588176,15.398,13.903,13.359,5272.0,4.546,0.14,11.2,3.7,-3.7,4.180043,3.6,2.482,Kepler,2014,Kepler
Kepler-1513 b,Kepler-1513,289.7917561,39.2852655,13.071,11.758,11.309,5491.0,4.46,0.17,7.0,4.0,-4.2,160.8842,8.594,10.7536,Kepler,2016,Kepler
Kepler-1465 b,Kepler-1465,289.8194222,51.9048541,14.724,12.718,12.043,4726.0,4.62,-0.06,3.72,6.1,-2.06,31.8277111,1.77,1.584,Kepler,2016,Kepler
Kepler-1925 b,Kepler-1925,289.8287452,45.1026883,15.382,14.006,13.598,5856.0,4.386,0.16,,,,46.71640015,3.00177922,7.353,Kepler,2021,Kepler
